filename,img_width,img_height,mask_width,mask_height,dims_match,white_ratio,n_unique_mask_values,is_strictly_binary
000000003793.png,512,512,512,512,True,0.481167,193,False
000000004032.png,512,512,512,512,True,0.478157,232,False
000000004283.png,512,512,512,512,True,0.19836,256,False
000000006327.png,512,512,512,512,True,0.102108,211,False
000000007319.png,512,512,512,512,True,0.432411,247,False
000000008058.png,512,512,512,512,True,0.108044,239,False
000000008080.png,512,512,512,512,True,0.163422,228,False
000000008160.png,512,512,512,512,True,0.244106,230,False
000000008786.png,512,512,512,512,True,0.331264,254,False
000000009620.png,512,512,512,512,True,0.470123,162,False
000000011080.png,512,512,512,512,True,0.292931,256,False
000000011373.png,512,512,512,512,True,0.625988,243,False
000000011506.png,512,512,512,512,True,0.124969,194,False
000000014034.png,512,512,512,512,True,0.112896,223,False
000000016072.png,512,512,512,512,True,0.750282,133,False
000000016099.png,512,512,512,512,True,0.158298,227,False
000000017559.png,512,512,512,512,True,0.32563,256,False
000000017975.png,512,512,512,512,True,0.116264,234,False
000000018158.png,512,512,512,512,True,0.193516,180,False
000000021496.png,512,512,512,512,True,0.121952,250,False
000000022797.png,512,512,512,512,True,0.114532,236,False
000000023163.png,512,512,512,512,True,0.400578,256,False
000000024480.png,512,512,512,512,True,0.372955,256,False
000000026133.png,512,512,512,512,True,0.269768,255,False
000000026534.png,512,512,512,512,True,0.120983,222,False
000000028480.png,512,512,512,512,True,0.137577,250,False
000000030080.png,512,512,512,512,True,0.101364,244,False
000000031188.png,512,512,512,512,True,0.366554,227,False
000000032375.png,512,512,512,512,True,0.253441,230,False
000000033481.png,512,512,512,512,True,0.241215,188,False
000000034097.png,512,512,512,512,True,0.151394,255,False
000000035532.png,512,512,512,512,True,0.327675,162,False
000000036460.png,512,512,512,512,True,0.147686,239,False
000000036508.png,512,512,512,512,True,0.507984,240,False
000000037697.png,512,512,512,512,True,0.151848,256,False
000000037846.png,512,512,512,512,True,0.320839,251,False
000000038558.png,512,512,512,512,True,0.167892,237,False
000000039513.png,512,512,512,512,True,0.146549,223,False
000000039864.png,512,512,512,512,True,0.257999,248,False
000000041200.png,512,512,512,512,True,0.928017,171,False
000000041575.png,512,512,512,512,True,0.226685,225,False
000000043029.png,512,512,512,512,True,0.116875,243,False
000000043049.png,512,512,512,512,True,0.110489,216,False
000000043931.png,512,512,512,512,True,0.297855,212,False
000000043957.png,512,512,512,512,True,0.29718,248,False
000000045057.png,512,512,512,512,True,0.56142,135,False
000000045479.png,512,512,512,512,True,0.156773,254,False
000000047407.png,512,512,512,512,True,0.283043,245,False
000000047545.png,512,512,512,512,True,0.12281,196,False
000000047570.png,512,512,512,512,True,0.268356,252,False
000000050912.png,512,512,512,512,True,0.262497,237,False
000000053491.png,512,512,512,512,True,0.211212,214,False
000000053752.png,512,512,512,512,True,0.241173,223,False
000000054632.png,512,512,512,512,True,0.238884,222,False
000000055375.png,512,512,512,512,True,0.223431,254,False
000000055767.png,512,512,512,512,True,0.159359,256,False
000000056303.png,512,512,512,512,True,0.192245,244,False
000000057194.png,512,512,512,512,True,0.164932,252,False
000000057542.png,512,512,512,512,True,0.296288,236,False
000000057750.png,512,512,512,512,True,0.54879,246,False
000000058597.png,512,512,512,512,True,0.179691,204,False
000000059532.png,512,512,512,512,True,0.172684,255,False
000000062833.png,512,512,512,512,True,0.433361,256,False
000000063104.png,512,512,512,512,True,0.12439,213,False
000000064016.png,512,512,512,512,True,0.121742,196,False
000000064186.png,512,512,512,512,True,0.325329,134,False
000000064470.png,512,512,512,512,True,0.534946,251,False
000000065087.png,512,512,512,512,True,0.202759,250,False
000000067941.png,512,512,512,512,True,0.549686,254,False
000000068162.png,512,512,512,512,True,0.147148,205,False
000000068881.png,512,512,512,512,True,0.982876,7,False
000000069051.png,512,512,512,512,True,0.570984,232,False
000000070588.png,512,512,512,512,True,0.103954,249,False
000000071126.png,512,512,512,512,True,0.368343,245,False
000000072203.png,512,512,512,512,True,0.582375,256,False
000000072233.png,512,512,512,512,True,0.992546,45,False
000000076245.png,512,512,512,512,True,0.129139,253,False
000000077899.png,512,512,512,512,True,0.100086,168,False
000000078274.png,512,512,512,512,True,0.121601,210,False
000000080434.png,512,512,512,512,True,0.202496,252,False
000000081474.png,512,512,512,512,True,0.27813,256,False
000000081906.png,512,512,512,512,True,0.508575,236,False
000000083565.png,512,512,512,512,True,0.101414,212,False
000000083787.png,512,512,512,512,True,0.232208,247,False
000000086215.png,512,512,512,512,True,0.146679,188,False
000000086877.png,512,512,512,512,True,0.992527,10,False
000000087518.png,512,512,512,512,True,0.142906,212,False
000000089087.png,512,512,512,512,True,0.125725,232,False
000000089248.png,512,512,512,512,True,0.130257,221,False
000000090244.png,512,512,512,512,True,0.444031,246,False
000000090319.png,512,512,512,512,True,0.563187,255,False
000000091154.png,512,512,512,512,True,0.220779,256,False
000000091839.png,512,512,512,512,True,0.118469,247,False
000000092402.png,512,512,512,512,True,0.546932,216,False
000000095808.png,512,512,512,512,True,0.113197,236,False
000000095939.png,512,512,512,512,True,0.707989,115,False
000000096557.png,512,512,512,512,True,0.47039,240,False
000000098054.png,512,512,512,512,True,0.948723,80,False
000000098095.png,512,512,512,512,True,0.37059,253,False
000000098656.png,512,512,512,512,True,0.200268,255,False
000000098720.png,512,512,512,512,True,0.10836,245,False
000000098739.png,512,512,512,512,True,0.195061,242,False
000000099874.png,512,512,512,512,True,0.636734,250,False
000000101426.png,512,512,512,512,True,0.742992,200,False
000000102872.png,512,512,512,512,True,0.212135,245,False
000000103295.png,512,512,512,512,True,0.117725,240,False
000000103509.png,512,512,512,512,True,0.112671,241,False
000000103966.png,512,512,512,512,True,0.300381,255,False
000000104023.png,512,512,512,512,True,0.176926,254,False
000000104801.png,512,512,512,512,True,0.156418,186,False
000000105015.png,512,512,512,512,True,0.324108,216,False
000000110257.png,512,512,512,512,True,0.579941,234,False
000000111352.png,512,512,512,512,True,0.333477,240,False
000000111434.png,512,512,512,512,True,0.389645,256,False
000000112385.png,512,512,512,512,True,0.277744,227,False
000000112622.png,512,512,512,512,True,0.405422,250,False
000000112677.png,512,512,512,512,True,0.368626,245,False
000000113617.png,512,512,512,512,True,0.144558,255,False
000000114947.png,512,512,512,512,True,0.146633,250,False
000000115378.png,512,512,512,512,True,0.361561,244,False
000000115455.png,512,512,512,512,True,0.312325,254,False
000000117321.png,512,512,512,512,True,0.241493,237,False
000000118110.png,512,512,512,512,True,0.403076,237,False
000000119002.png,512,512,512,512,True,0.30648,212,False
000000119026.png,512,512,512,512,True,0.485142,255,False
000000120836.png,512,512,512,512,True,0.174423,230,False
000000120918.png,512,512,512,512,True,0.349937,224,False
000000121249.png,512,512,512,512,True,0.180126,253,False
000000122281.png,512,512,512,512,True,0.141964,249,False
000000125335.png,512,512,512,512,True,0.202072,233,False
000000125886.png,512,512,512,512,True,0.411114,215,False
000000128402.png,512,512,512,512,True,0.175369,256,False
000000128831.png,512,512,512,512,True,0.428692,256,False
000000129328.png,512,512,512,512,True,0.556248,255,False
000000130275.png,512,512,512,512,True,0.811954,165,False
000000130997.png,512,512,512,512,True,0.108765,229,False
000000132114.png,512,512,512,512,True,0.353947,237,False
000000132265.png,512,512,512,512,True,0.105412,254,False
000000134128.png,512,512,512,512,True,0.306206,253,False
000000134454.png,512,512,512,512,True,0.19128,256,False
000000134673.png,512,512,512,512,True,0.191639,194,False
000000136369.png,512,512,512,512,True,0.515541,230,False
000000136687.png,512,512,512,512,True,0.206657,249,False
000000136795.png,512,512,512,512,True,0.227901,225,False
000000136905.png,512,512,512,512,True,0.166054,44,False
000000137577.png,512,512,512,512,True,0.13044,256,False
000000137578.png,512,512,512,512,True,0.14082,227,False
000000137699.png,512,512,512,512,True,0.184643,225,False
000000137826.png,512,512,512,512,True,0.317429,195,False
000000138780.png,512,512,512,512,True,0.326164,253,False
000000140174.png,512,512,512,512,True,0.385292,249,False
000000140346.png,512,512,512,512,True,0.389244,223,False
000000140590.png,512,512,512,512,True,0.132206,249,False
000000140743.png,512,512,512,512,True,0.770485,239,False
000000141330.png,512,512,512,512,True,0.144039,251,False
000000143507.png,512,512,512,512,True,0.874966,239,False
000000144179.png,512,512,512,512,True,0.149841,254,False
000000144320.png,512,512,512,512,True,0.561844,239,False
000000144505.png,512,512,512,512,True,0.133343,255,False
000000145863.png,512,512,512,512,True,0.117538,226,False
000000146215.png,512,512,512,512,True,0.495125,132,False
000000146701.png,512,512,512,512,True,0.332798,250,False
000000147278.png,512,512,512,512,True,0.114857,251,False
000000147775.png,512,512,512,512,True,0.396648,256,False
000000149078.png,512,512,512,512,True,0.113304,212,False
000000150324.png,512,512,512,512,True,0.557751,208,False
000000150821.png,512,512,512,512,True,0.800728,254,False
000000151403.png,512,512,512,512,True,0.29047,230,False
000000152202.png,512,512,512,512,True,0.122147,232,False
000000152628.png,512,512,512,512,True,0.203053,229,False
000000152764.png,512,512,512,512,True,0.113441,246,False
000000152946.png,512,512,512,512,True,0.136715,255,False
000000154898.png,512,512,512,512,True,0.141701,243,False
000000157554.png,512,512,512,512,True,0.198994,254,False
000000157657.png,512,512,512,512,True,0.29147,251,False
000000157714.png,512,512,512,512,True,0.344509,207,False
000000158642.png,512,512,512,512,True,0.260777,221,False
000000162799.png,512,512,512,512,True,0.193916,255,False
000000163692.png,512,512,512,512,True,0.209389,212,False
000000164044.png,512,512,512,512,True,0.548496,166,False
000000166522.png,512,512,512,512,True,0.179897,211,False
000000168243.png,512,512,512,512,True,0.427723,253,False
000000168741.png,512,512,512,512,True,0.105186,234,False
000000170015.png,512,512,512,512,True,0.149174,242,False
000000170181.png,512,512,512,512,True,0.112228,246,False
000000172316.png,512,512,512,512,True,0.424271,239,False
000000173596.png,512,512,512,512,True,0.182957,234,False
000000174869.png,512,512,512,512,True,0.883934,141,False
000000174892.png,512,512,512,512,True,0.203064,156,False
000000175198.png,512,512,512,512,True,0.276211,246,False
000000180341.png,512,512,512,512,True,0.114929,254,False
000000180366.png,512,512,512,512,True,0.653984,230,False
000000180480.png,512,512,512,512,True,0.178024,251,False
000000181713.png,512,512,512,512,True,0.778767,244,False
000000181909.png,512,512,512,512,True,0.318378,162,False
000000182243.png,512,512,512,512,True,0.151054,224,False
000000182997.png,512,512,512,512,True,0.186283,227,False
000000183040.png,512,512,512,512,True,0.45018,255,False
000000183154.png,512,512,512,512,True,0.109787,255,False
000000183273.png,512,512,512,512,True,0.237194,132,False
000000184355.png,512,512,512,512,True,0.36956,228,False
000000185229.png,512,512,512,512,True,0.206272,256,False
000000185818.png,512,512,512,512,True,0.235767,245,False
000000185832.png,512,512,512,512,True,0.133007,219,False
000000186502.png,512,512,512,512,True,0.1563,196,False
000000187776.png,512,512,512,512,True,0.109177,227,False
000000187939.png,512,512,512,512,True,0.493721,242,False
000000188183.png,512,512,512,512,True,0.221367,254,False
000000189547.png,512,512,512,512,True,0.154182,186,False
000000190495.png,512,512,512,512,True,0.151886,198,False
000000190805.png,512,512,512,512,True,0.130108,244,False
000000191101.png,512,512,512,512,True,0.425167,241,False
000000191836.png,512,512,512,512,True,0.115974,247,False
000000192114.png,512,512,512,512,True,0.242355,214,False
000000192759.png,512,512,512,512,True,0.50095,229,False
000000193194.png,512,512,512,512,True,0.137413,140,False
000000193222.png,512,512,512,512,True,0.128098,232,False
000000194448.png,512,512,512,512,True,0.105087,239,False
000000194462.png,512,512,512,512,True,0.11261,246,False
000000194956.png,512,512,512,512,True,0.243008,250,False
000000195149.png,512,512,512,512,True,0.38438,255,False
000000195470.png,512,512,512,512,True,0.578354,224,False
000000196291.png,512,512,512,512,True,0.255962,241,False
000000196313.png,512,512,512,512,True,0.363789,249,False
000000196851.png,512,512,512,512,True,0.100376,219,False
000000196948.png,512,512,512,512,True,0.466999,247,False
000000197775.png,512,512,512,512,True,0.943027,122,False
000000198352.png,512,512,512,512,True,0.223953,241,False
000000198631.png,512,512,512,512,True,0.100769,197,False
000000198978.png,512,512,512,512,True,0.261353,252,False
000000199492.png,512,512,512,512,True,0.251709,226,False
000000200404.png,512,512,512,512,True,0.126385,224,False
000000200548.png,512,512,512,512,True,0.129421,238,False
000000201059.png,512,512,512,512,True,0.194904,253,False
000000202086.png,512,512,512,512,True,0.17004,247,False
000000205570.png,512,512,512,512,True,0.964378,145,False
000000205847.png,512,512,512,512,True,0.159149,215,False
000000206362.png,512,512,512,512,True,0.309021,242,False
000000207363.png,512,512,512,512,True,0.129181,243,False
000000208174.png,512,512,512,512,True,0.313,254,False
000000208805.png,512,512,512,512,True,0.311058,249,False
